task_id	name	status	exit	realtime	%cpu	rss	workdir
3	GLIMPSE2_CHUNK (chr3)	COMPLETED	0	34s	98.1%	352.2 MB	/home/ocanal/Desktop/nextflow_lowpass/work/03/7169a0abccfe05aebdd0fe717d771f
2	GLIMPSE2_CHUNK (chr2)	COMPLETED	0	42s	98.1%	452.1 MB	/home/ocanal/Desktop/nextflow_lowpass/work/c0/5009b2c843d5b6464ecdd898604c11
1	GLIMPSE2_CHUNK (chr1)	COMPLETED	0	56s	72.4%	427.3 MB	/home/ocanal/Desktop/nextflow_lowpass/work/32/4efa7cbef1a70c968ceb4ef0f35ca6
4	GLIMPSE2_CHUNK (chr4)	COMPLETED	0	56s	61.4%	357.4 MB	/home/ocanal/Desktop/nextflow_lowpass/work/35/f189a12007e3bb51eed69c227a2bcc
11	GLIMPSE2_CHUNK (chr9)	COMPLETED	0	27s	84.9%	214.6 MB	/home/ocanal/Desktop/nextflow_lowpass/work/03/2c7cf3d25eab65aafd0f1dfccf4640
5	GLIMPSE2_CHUNK (chr5)	COMPLETED	0	41s	78.2%	314.6 MB	/home/ocanal/Desktop/nextflow_lowpass/work/1f/afaecaa4854431c74bb1ca4c9aa5d5
8	GLIMPSE2_CHUNK (chr6)	COMPLETED	0	31s	98.4%	282.2 MB	/home/ocanal/Desktop/nextflow_lowpass/work/8b/6721d6107da6889652453250fbd67e
10	GLIMPSE2_CHUNK (chr8)	COMPLETED	0	28s	97.5%	285.8 MB	/home/ocanal/Desktop/nextflow_lowpass/work/ae/8531cd29129291d0905e4fdb229087
12	GLIMPSE2_CHUNK (chr10)	COMPLETED	0	27s	93.7%	221 MB	/home/ocanal/Desktop/nextflow_lowpass/work/56/68647ff2371e31ac298ab096507c86
9	GLIMPSE2_CHUNK (chr7)	COMPLETED	0	33s	89.9%	308 MB	/home/ocanal/Desktop/nextflow_lowpass/work/c9/63946b387df4031f710d9068d41525
13	GLIMPSE2_CHUNK (chr11)	COMPLETED	0	29s	84.2%	239.5 MB	/home/ocanal/Desktop/nextflow_lowpass/work/5c/6099ae8668d6643ae74a7aca5a5f72
14	GLIMPSE2_CHUNK (chr12)	COMPLETED	0	28s	83.9%	242.5 MB	/home/ocanal/Desktop/nextflow_lowpass/work/0c/5bf50d21625a8a97462852b1beacd3
16	GLIMPSE2_CHUNK (chr14)	COMPLETED	0	17s	93.9%	169.3 MB	/home/ocanal/Desktop/nextflow_lowpass/work/27/24a91c60815bf065c4020ec0bbeff2
15	GLIMPSE2_CHUNK (chr13)	COMPLETED	0	19s	92.4%	166.8 MB	/home/ocanal/Desktop/nextflow_lowpass/work/54/3d5f40d423eeddca425f3349d412bb
17	GLIMPSE2_CHUNK (chr15)	COMPLETED	0	16s	96.5%	124.2 MB	/home/ocanal/Desktop/nextflow_lowpass/work/24/4e2586631f4da55b8ce0784cd4183b
18	GLIMPSE2_CHUNK (chr16)	COMPLETED	0	18s	94.5%	173.8 MB	/home/ocanal/Desktop/nextflow_lowpass/work/5a/75b00cde6948a1e78441ec418aa0e8
20	GLIMPSE2_CHUNK (chr18)	COMPLETED	0	15s	93.9%	116 MB	/home/ocanal/Desktop/nextflow_lowpass/work/74/41b3a3539c304b57bfd35d4da6d104
19	GLIMPSE2_CHUNK (chr17)	COMPLETED	0	16s	93.6%	116.9 MB	/home/ocanal/Desktop/nextflow_lowpass/work/40/a2052489321466b3a04f09692fb1cf
23	GLIMPSE2_CHUNK (chr21)	COMPLETED	0	8s	92.7%	73.8 MB	/home/ocanal/Desktop/nextflow_lowpass/work/09/04ccf619c023866f86ebe0b59d71fc
21	GLIMPSE2_CHUNK (chr19)	COMPLETED	0	13s	93.3%	117.3 MB	/home/ocanal/Desktop/nextflow_lowpass/work/7d/712e8abd15be108fe261c754b4b569
24	GLIMPSE2_CHUNK (chr22)	COMPLETED	0	6s	90.7%	50.6 MB	/home/ocanal/Desktop/nextflow_lowpass/work/a5/2ca8b402007164f131f50295b19d82
26	GLIMPSE2_SPLIT_REFERENCE (chr2_0)	COMPLETED	0	5s	76.5%	54.5 MB	/home/ocanal/Desktop/nextflow_lowpass/work/ea/2f266dd76e696c89ebe0e9565d2728
25	GLIMPSE2_SPLIT_REFERENCE (chr3_0)	COMPLETED	0	6s	71.2%	62.3 MB	/home/ocanal/Desktop/nextflow_lowpass/work/9f/51135aeb7eb37891ff96a2e52bcfcf
27	GLIMPSE2_SPLIT_REFERENCE (chr1_0)	COMPLETED	0	5s	77.2%	61.6 MB	/home/ocanal/Desktop/nextflow_lowpass/work/43/c2aa53f8c86683b48d22b4fe6cdabb
22	GLIMPSE2_CHUNK (chr20)	COMPLETED	0	14s	84.3%	112.4 MB	/home/ocanal/Desktop/nextflow_lowpass/work/ff/3e368409aafe713577670d31dfe688
28	GLIMPSE2_SPLIT_REFERENCE (chr4_0)	COMPLETED	0	8s	67.7%	75.4 MB	/home/ocanal/Desktop/nextflow_lowpass/work/9c/ce9839c46e95dcf83955655faa9cff
31	GLIMPSE2_SPLIT_REFERENCE (chr6_0)	COMPLETED	0	4s	68.4%	61.7 MB	/home/ocanal/Desktop/nextflow_lowpass/work/45/aa6924a477e42227a0d1f714d2443c
29	GLIMPSE2_SPLIT_REFERENCE (chr9_0)	COMPLETED	0	7s	61.1%	64.3 MB	/home/ocanal/Desktop/nextflow_lowpass/work/b3/91f69ae5896753ef059c1d7b702909
30	GLIMPSE2_SPLIT_REFERENCE (chr5_0)	COMPLETED	0	6s	57.3%	61.6 MB	/home/ocanal/Desktop/nextflow_lowpass/work/04/dccc8867cb24a70a392c0e0f07d8b5
32	GLIMPSE2_SPLIT_REFERENCE (chr8_0)	COMPLETED	0	7s	63.4%	67.2 MB	/home/ocanal/Desktop/nextflow_lowpass/work/00/0937f946829d75368da0c771eac671
35	GLIMPSE2_SPLIT_REFERENCE (chr11_0)	COMPLETED	0	5s	68.0%	54.3 MB	/home/ocanal/Desktop/nextflow_lowpass/work/59/6dd411fe5d7d71b71eefc878f8f0da
33	GLIMPSE2_SPLIT_REFERENCE (chr10_0)	COMPLETED	0	7s	54.8%	58.8 MB	/home/ocanal/Desktop/nextflow_lowpass/work/c9/867850222dd484d7f86984d272457e
34	GLIMPSE2_SPLIT_REFERENCE (chr7_0)	COMPLETED	0	8s	56.8%	70.6 MB	/home/ocanal/Desktop/nextflow_lowpass/work/fd/d0b6f9855d89e7aac8c24b4de33944
36	GLIMPSE2_SPLIT_REFERENCE (chr12_0)	COMPLETED	0	6s	58.5%	50.3 MB	/home/ocanal/Desktop/nextflow_lowpass/work/49/787faaaccd3981ff81c28e93807120
39	GLIMPSE2_SPLIT_REFERENCE (chr15_0)	COMPLETED	0	5s	45.6%	36.8 MB	/home/ocanal/Desktop/nextflow_lowpass/work/df/eba526338d3647f68f27514ed67f62
37	GLIMPSE2_SPLIT_REFERENCE (chr14_0)	COMPLETED	0	9s	38.4%	64.5 MB	/home/ocanal/Desktop/nextflow_lowpass/work/22/6a46c7037e34cb0d3060251ad5093a
40	GLIMPSE2_SPLIT_REFERENCE (chr16_0)	COMPLETED	0	9s	50.1%	60.2 MB	/home/ocanal/Desktop/nextflow_lowpass/work/a7/912d275ef4600e63a3f1b71a2ccc12
41	GLIMPSE2_SPLIT_REFERENCE (chr18_0)	COMPLETED	0	6s	48.7%	41.7 MB	/home/ocanal/Desktop/nextflow_lowpass/work/77/1059e55b5ac38cc409bf33ddbddd1a
38	GLIMPSE2_SPLIT_REFERENCE (chr13_0)	COMPLETED	0	15s	48.5%	102.1 MB	/home/ocanal/Desktop/nextflow_lowpass/work/53/029ee96835e55c43bfbe63a861eb14
42	GLIMPSE2_SPLIT_REFERENCE (chr17_0)	COMPLETED	0	10s	41.7%	60.4 MB	/home/ocanal/Desktop/nextflow_lowpass/work/19/3efb4bec875a0588ca88034c2f85fb
44	GLIMPSE2_SPLIT_REFERENCE (chr19_0)	COMPLETED	0	8s	50.4%	58.1 MB	/home/ocanal/Desktop/nextflow_lowpass/work/07/7d19478eb28959d32cd986dba008c3
46	GLIMPSE2_SPLIT_REFERENCE (chr20_0)	COMPLETED	0	5s	60.6%	46.2 MB	/home/ocanal/Desktop/nextflow_lowpass/work/ae/3cf2916968884ae2aaece52bcbfbf6
43	GLIMPSE2_SPLIT_REFERENCE (chr21_0)	COMPLETED	0	14s	51.3%	104.4 MB	/home/ocanal/Desktop/nextflow_lowpass/work/7d/cb3e93e1b9c11515faad2adb2b955d
45	GLIMPSE2_SPLIT_REFERENCE (chr22_0)	COMPLETED	0	10s	61.2%	92.7 MB	/home/ocanal/Desktop/nextflow_lowpass/work/c3/49164986ba9f3d67b34a090d7711a7
7	FASTP (RB21583)	ABORTED	-	-	-	-	/home/ocanal/Desktop/nextflow_lowpass/work/ce/c8210281347dfedeaa12905fc0ad17
